"   ","OWNER_CODE"
"596","FWUU"
"597","YWCU"
"598","HBSU"
"599","GMMU"
"600","DCOU"
"601","ANCU"
"602","JACU"
"603","BOIU"
"604","DWAU"
"605","6027"
"606","GTCU"
"607","GSBU"
"608","BPIU"
"609","WMXU"
"610","GTIU"
"611","EIMU"
"612","WSAU"
"613","CDXU"
"614","AAMU"
"615","UGSU"
"616","JDTU"
"617","HKXU"
"618","ITSU"
"619","NOWU"
"620","KRIU"
"621","SPAN"
"622","JCMU"
"623","SBIK"
"624","TPZU"
"625","BSGU"
"626","PTLU"
"627","GMRL"
"628","RCOU"
"629","JHTU"
"630","RLXU"
"631","HLKU"
"632","MXXU"
"633","HLXU"
"634","SNBU"
"635","MOEU"
"636","MOLU"
"637","BLKU"
"638","OCBU"
"639","UTTU"
"640","WLNU"
"641","TPCU"
"642","WICU"
"643","MTCU"
"644","SIIU"
"645","BRGU"
"646","IFLU"
"647","HPCU"
"648","WSCU"
"649","EWLU"
"650","ALCU"
"651","RHNU"
"652","FFXU"
"653","TGU2"
"654","KCSU"
"655","FBCU"
"656","USAU"
"657","SBLU"
"658","MRUU"
"659","LASU"
"660","FEPU"
"661","ZPLU"
"662","CKLU"
"663","GOAU"
"664","MFTU"
"665","MWLU"
"666","DTIU"
"667","NZLU"
"668","GRRU"
"669","MOCU"
"670","HPGU"
"671","LBIU"
"672","BCGU"
"673","T804"
"674","BGFU"
"675","RKKU"
"676","HMIU"
"677","GIFU"
"678","CXHU"
"679","NINU"
"680","EECU"
"681","BSLR"
"682","CLVU"
"683","HBLU"
"684","LBOU"
"685","YCCU"
"686","REVU"
"687","YPSU"
"688","ACDU"
"689","PREU"
"690","JTAU"
"691","KZCU"
"692","BLLU"
"693","CIFU"
"694","IBMU"
"695","SKJU"
"696","PLOU"
"697","TRCU"
"698","CAIU"
"699","EGHU"
"700","MOTU"
"701","PONU"
"702","ITAU"
"703","SCZU"
"704","TSTU"
"705","CRTU"
"706","RCLU"
"707","MCKU"
"708","CHFU"
"709","MEXU"
"710","CWLU"
"711","ATSU"
"712","FCSU"
"713","SHCU"
"714","EMSU"
"715","UMAU"
"716","SAHU"
"717","ZLSU"
"718","IWSU"
"719","CDCC"
"720","TPTU"
"721","BLJU"
"722","CAEU"
"723","STGU"
"724","UCLU"
"725","KWLU"
"726","TAKU"
"727","CQSU"
"728","MTYU"
"729","GPLU"
"730","AELU"
"731","BOTU"
"732","KJSU"
"733","ZFRU"
"734","TCLC"
"735","BAXU"
"736","FINU"
"737","8246"
"738","6887"
"739","AKSU"
"740","XSSU"
"741","POSL"
"742","ITOU"
"743","HSLU"
"744","ZSCU"
"745","KTNU"
"746","SEDU"
"747","TPSU"
"748","JERU"
"749","STDU"
"750","AHLU"
"751","XYDU"
"752","SOWU"
"753","WSMU"
"754","PRMU"
"755","PACU"
"756","JMWU"
"757","DTCU"
"758","CXDU"
"759","ONTU"
"760","MLCU"
"761","FBLU"
"762","FULU"
"763","TRDU"
"764","JOLU"
"765","MTGU"
"766","ACSU"
"767","CEUU"
"768","HBTU"
"769","SBEU"
"770","HANU"
"771","ISHU"
"772","VANU"
"773","SKYU"
"774","TMIU"
"775","LGEU"
"776","CLIU"
"777","NCZU"
"778","CCEU"
"779","MHQU"
"780","WAEU"
"781","JBHU"
"782","9275"
"783","USNX"
"784","OGTU"
"785","DTLU"
"786","UNSU"
"787","CBIU"
"788","LFIU"
"789","SMPU"
"790","OPDU"
"791","4145"
"792","LJUU"
"793","AONU"
"794","UASU"
"795","LSFU"
"796","UBEU"
"797","DBGU"
"798","YBLU"
"799","LTGU"
"800","SBXU"
"801","ALQU"
"802","OKBU"
"803","FSIU"
"804","PCRU"
"805","EESU"
"806","SDBU"
"807","KQFU"
"808","MCBU"
"809","RBTU"
"810","ICKU"
"811","LSKU"
"812","XBNT"
"813","CLAU"
"814","LSLU"
"815","ZIM2"
"816","FCIU"
"817","SEGU"
"818","GCSU"
"819","CAXU"
"820","MATU"
"821","SUDU"
"822","JOTU"
"823","BIDU"
"824","CZTU"
"825","ORCU"
"826","STBU"
"827","RLSU"
"828","JHFU"
"829","CISU"
"830","HCZU"
"831","EMKU"
"832","TSAU"
"833","CNGU"
"834","HIIU"
"835","ANYU"
"836","EGU7"
"837","TOEU"
"838","USNU"
"839","WCSU"
"840","AFIU"
"841","BNFL"
"842","CEIU"
"843","KUEX"
"844","PGOU"
"845","SCFU"
"846","TMFU"
"847","BJXU"
"848","BLTU"
"849","9954"
"850","CCPU"
"851","SBTN"
"852","BCIU"
"853","AHCU"
"854","5602"
"855","MHDU"
"856","GAMU"
"857","INLU"
"858","TGSU"
"859","IEGU"
"860","AEAU"
"861","PBKU"
"862","ALZU"
"863","GZSU"
"864","MSLI"
"865","RWAC"
"866","WSEU"
"867","9363"
"868","TYNE"
"869","ZGRU"
"870","NORU"
"871","HKHU"
"872","ALOU"
"873","APVU"
"874","CRCU"
"875","STCU"
"876","NTSU"
"877","SDFU"
"878","PBIU"
"879","MMFU"
"880","TAYU"
"881","TENV"
"882","OOLU"
"883","GSLU"
"884","FJKU"
"885","MEDU"
"886","MAXU"
"887","SZLU"
"888","KMLU"
"889","AMCU"
"890","GETU"
"891","AKLU"
"892","VTGU"
"893","SPKU"
"894","WSDU"
"895","SNIU"
"896","WCIU"
"897","ESDU"
"898","JHSU"
"899","PEKU"
"900","RWLU"
"901","TGTU"
"902","OWLU"
"903","YTIU"
"904","GRIU"
"905","YTCU"
"906","MOSU"
"907","DAYU"
"908","WBXU"
"909","TORU"
"910","CBXU"
"911","ZHCU"
"912","IGEU"
"913","BCHU"
"914","BGCU"
"915","THLU"
"916","ATOU"
"917","CASU"
"918","XXXX"
"919","PCHU"
"920","BACU"
"921","BJMU"
"922","SFIU"
"923","BETU"
"924","ORNU"
"925","GLBU"
"926","PPCU"
"927","TTJU"
"928","NETU"
"929","MGMU"
"930","VSCU"
"931","MDTU"
"932","LMCU"
"933","FBKU"
"934","DENU"
"935","PTRU"
"936","UGGU"
"937","VCU2"
"938","TONU"
"939","NEOU"
"940","IPSU"
"941","BULU"
"942","CSXU"
"943","SNWU"
"944","CSRU"
"945","NMSU"
"946","EXOU"
"947","TKIU"
"948","TRMU"
"949","NCRU"
"950","RYDU"
"951","PGTU"
"952","GVDU"
"953","TIFU"
"954","MIIU"
"955","FESU"
"956","TISU"
"957","SNHU"
"958","MORU"
"959","RZDU"
"960","GRMU"
"961","SKTU"
"962","ALNU"
"963","HSIU"
"964","TOGC"
"965","LINU"
"966","BNGU"
"967","NOLU"
"968","TEBU"
"969","KHLU"
"970","SSMU"
"971","DVTU"
"972","TJXU"
"973","FRAU"
"974","SHYU"
"975","NSAU"
"976","WLCU"
"977","BEBU"
"978","TATU"
"979","PARU"
"980","SOFU"
"981","ECON"
"982","ETTU"
"983","DONU"
"984","ARRU"
"985","TBLU"
"986","PYHK"
"987","PEXU"
"988","CGBU"
"989","WESU"
"990","IXKU"
"991","NGLS"
"992","UPVU"
"993","TKXU"
"994","HHCU"
"995","STLU"
"996","NCUU"
"997","BURU"
"998","TFTU"
"999","LUMU"
"1000","LSIU"
"1001","CLTU"
"1002","CEMI"
"1003","TCPU"
"1004","PCIU"
"1005","EITU"
"1006","CARU"
"1007","PCVU"
"1008","SUZU"
"1009","SMLU"
"1010","SBAU"
"1011","RMCU"
"1012","GOJU"
"1013","TPHU"
"1014","PSSU"
"1015","KFXU"
"1016","TCVU"
"1017","PKEU"
"1018","JTLU"
"1019","CVTU"
"1020","AIRU"
"1021","MSWU"
"1022","SECS"
"1023","IDSU"
"1024","JCCU"
"1025","4000"
"1026","EMAU"
"1027","AMXU"
"1028","CKCU"
"1029","HDCU"
"1030","RRSU"
"1031","MXMU"
"1032","LSPU"
"1033","JSLU"
"1034","FWCU"
"1035","SDDU"
"1036","POLU"
"1037","4749"
"1038","6926"
"1039","WOSU"
"1040","PHTU"
"1041","FRSU"
"1042","FAMU"
"1043","SBDU"
"1044","SFUU"
"1045","CMIU"
"1046","ITMU"
"1047","YBFU"
"1048","HNKU"
"1049","LEDU"
"1050","MBBU"
"1051","SBPU"
"1052","HZWU"
"1053","GAOU"
"1054","ACOU"
"1055","YILU"
"1056","RMIU"
"1057","INGU"
"1058","COSU"
"1059","CSLU"
"1060","MSLU"
"1061","ZCSU"
"1062","HJCU"
"1063","TRIU"
"1064","SAXU"
"1065","SECU"
"1066","FBXU"
"1067","CNIU"
"1068","TEGU"
"1069","FEAU"
"1070","VCUU"
"1071","NDLU"
"1072","ITXU"
"1073","GEAR"
"1074","ZHLU"
"1075","EARU"
"1076","IAAU"
"1077","BEXU"
"1078","GWXU"
"1079","TQMU"
"1080","UMXU"
"1081","PERU"
"1082","MSFU"
"1083","PPLU"
"1084","WCTU"
"1085","CNEU"
"1086","SBIU"
"1087","LYGU"
"1088","DBOU"
"1089","LESU"
"1090","GFUU"
"1091","EUVU"
"1092","AIDU"
"1093","FXEU"
"1094","TSGU"
"1095","IRIU"
"1096","NEWU"
"1097","STOA"
"1098","BSZU"
"1099","NKBU"
"1100","AXLU"
"1101","PASU"
"1102","SDSU"
"1103","XCMC"
"1104","NPTU"
"1105","EPCU"
"1106","OKEU"
"1107","SAKU"
"1108","ABCD"
"1109","SRNU"
"1110","EFGU"
"1111","INUI"
"1112","SGIU"
"1113","TDHU"
"1114","RRRU"
"1115","AZLU"
"1116","YGCU"
"1117","JDYU"
"1118","MOFU"
"1119","TLXU"
"1120","BEAU"
"1121","DVRU"
"1122","JAYU"
"1123","UGMU"
"1124","DKOU"
"1125","MMSU"
"1126","KLIU"
"1127","SWTU"
"1128","TAHU"
"1129","CTMU"
"1130","PVCU"
"1131","KINU"
"1132","MPLU"
"1133","CRRU"
"1134","USFU"
"1135","AITU"
"1136","MGGU"
"1137","MWSU"
"1138","UNDU"
"1139","IECU"
"1140","JSUN"
"1141","FWDU"
"1142","MICU"
"1143","8000"
"1144","OCLU"
"1145","PCCU"
"1146","YOLU"
"1147","RLTU"
"1148","DNVU"
"1149","FKLU"
"1150","9531"
"1151","TWRU"
"1152","FCDC"
"1153","RDMU"
"1154","BSSU"
"1155","HTLU"
"1156","CAPU"
"1157","TRSK"
"1158","MKHU"
"1159","EFCU"
"1160","QSCU"
"1161","CCGU"
"1162","APSU"
